from_id,to_id,distance_km,capacity_veh_h,condition
1,3,8.5,3000,7
1,8,6.2,2500,6
2,3,5.9,2800,8
2,5,4.0,3200,9
3,5,6.1,3500,7
3,6,3.2,2000,8
3,9,4.5,2600,6
3,10,3.8,2400,7
4,2,15.2,3800,9
4,14,5.3,3000,10
5,11,7.9,3100,7
6,9,2.2,1800,8
7,8,24.5,3500,8
7,15,9.8,3000,9
8,10,3.3,2200,7
8,12,14.8,2600,5
9,10,2.1,1900,7
10,11,8.7,2400,6
11,F2,3.6,2200,7
12,1,12.7,2800,6
13,4,45.0,4000,10
14,13,35.5,3800,9
15,7,9.8,3000,9
F1,5,7.5,3500,9
F1,2,9.2,3200,8
F2,3,2.5,2000,7
F7,15,8.3,2800,8
F8,4,6.1,3000,9
